campaign_id,campaign_name,artist_name,genre,track_name,albom,track,promo
2911213,Сателлит - Под бой курантов (скрытые),Сателлит,Поп/R&B,Под бой курантов,0.0,1.0,0.0
8279327,HOVO - Снег (скрытые),HammAli & Navai,Russian Pop / Эстрада / Russian Chanson,Герои черно-белых фильмов,0.0,1.0,0.0
14133354,Idris & Leos - Я тобой болен (скрытые),EMIN & Amanda Holden,Поп/R&B,Перед рассветом (Remix),0.0,1.0,0.0
9910277,NITI DILA - Мне тепло с тобою (премьерный),JAVANI,Хип-хоп / Поп-рэп / Рэп,Закрой мои глаза 2.0,0.0,1.0,0.0
5146349,"С.Михайлов - R.Zərgərli, С.Михайлов - Я пью тебя до дна (скрытые) - слушатели",TUSOVKA,Russian Pop / Эстрада / Russian Chanson,Мимолётная любовь,0.0,1.0,0.0
1593959,EMIN_Герои черно-белых фильмов_ЦД (премьерный пост),Idris & Leos,Поп/R&B,Перед рассветом (Remix),0.0,1.0,0.0
9233960,SAYAN - Гордая (скрытые) - слушатели + базы,Jazzdauren,Поп/R&B,Дура,0.0,1.0,0.0
15744202,MILAVA - Фиаско (скрытые) - похожие,NAKHAT,Russian Pop / Эстрада / Russian Chanson,Закрой мои глаза,0.0,1.0,0.0
10656709,"DJ DimixeR - Те100стерон, DJ DimixeR - Это не женщина 2.0 (скрытые)",DJ DimixeR & Те100стерон,Поп/R&B,Ты не одна,0.0,1.0,0.0
14614576,"Эллаи - Эллаи, Naya - Научи меня летать (скрытые) - базы",Эллаи & Naya,Поп/R&B,Летай,0.0,1.0,0.0
14082769,DAKENA - Гирлянда (скрытые),EMIN,Russian Pop / Эстрада / Russian Chanson,Последнее письмо,0.0,1.0,0.0
2351092,"SAYAN, GLAZUR - Закрой мои глаза 2.0 (скрытые)",Виктор Антонов,Хип-хоп / Поп-рэп / Рэп,На репите,0.0,1.0,0.0
1921058,DJ DimixeR - Перед рассветом (Remix) (премьерный),DAKENA,Russian Pop / Эстрада / Russian Chanson,Спишь?,0.0,1.0,0.0
14331877,EMIN_Герои черно-белых фильмов_ЦД,EMIN,Хип-хоп / Поп-рэп / Рэп,Перед рассветом (Remix),0.0,1.0,0.0
4917293,EMIN_Герои черно-белых фильмов_РЕТ,DILARA,Russian Pop / Эстрада / Russian Chanson,Перед рассветом (Remix),0.0,1.0,0.0
6435740,Копия Asammuell - Грустные глаза (скрытые) - базы треки,Asammuell,Russian Pop / Эстрада / Russian Chanson,Нитками,0.0,1.0,0.0
9622060,Сателлит - Улетаю домой (скрытые),Руки Вверх,Поп/R&B,Всех дороже,0.0,1.0,0.0
10798113,Стас Михайлов - Летай (скрытые),Алсу & Ева Власова,Russian Pop / Эстрада / Russian Chanson,Всех дороже,0.0,1.0,0.0
443585,Руки Вверх! - Новый год (премьерный),Алсу & Ева Власова,Dance-pop / EDM / Electropop / Eurodance ,Закрой мои глаза,0.0,1.0,0.0
6265042,Idris & Leos - Боль и страх (скрытые),EMIN,Поп/R&B,Перед рассветом (Remix),0.0,1.0,0.0
4957886,"Алсу, Ева Власова - Белая Фата - Алсу (скрытые)",Стас Михайлов,Хип-хоп / Поп-рэп / Рэп,Как же красива,0.0,1.0,0.0
14431420,Idris & Leos - Обезболить (скрытые) - базы,DILARA,Russian Pop / Эстрада / Russian Chanson,u wanna,0.0,1.0,0.0
9232180,"Bahh Tee - Не плачь, мам (скрытые)",DJ DimixeR & Те100стерон,Russian Pop / Эстрада / Russian Chanson,u wanna,0.0,1.0,0.0
512050,Сателлит - Улетаю домой (скрытые),Мохито,Хип-хоп / Поп-рэп / Рэп,Винчестер,0.0,1.0,0.0
15160134,"The Limba – Винчестер - базы - Россия, Казахстан, Беларусь (скрытые)",HammAli & Navai,Хип-хоп / Поп-рэп / Рэп,Манифест,0.0,1.0,0.0
2249326,Эллаи - Всех дороже (скрытые),Стас Михайлов,Russian Pop / Эстрада / Russian Chanson,Патрики,0.0,1.0,0.0
4383505,DJ DimixeR  - Перед рассветом (Remix) (скрытые),Стас Михайлов,Russian Pop / Эстрада / Russian Chanson,Не пара,0.0,1.0,0.0
15900971,SAYAN - Закрой мои глаза (скрытые),Алсу & Ева Власова,Dance-pop / EDM / Electropop / Eurodance ,Я тобой болен,0.0,1.0,0.0
1928916,"HAMMALI, Akmal' - О чем ты не спишь по ночам (скрытые)  - слушатели",HAMMALI & Akmal',Russian Pop / Эстрада / Russian Chanson,"Тот, кто",1.0,1.0,0.0
7029610,Виктор Антонов - Мама (скрытые),Сателлит,Хип-хоп / Поп-рэп / Рэп,Летай,0.0,1.0,0.0
15244165,ALEX ANDREEV - Кавказский груз (скрытые) - трек,ALEX ANDREEV,Russian Pop / Эстрада / Russian Chanson,Перед рассветом (Remix),0.0,1.0,0.0
183899,SEREBRO - Кто я для тебя (скрытые),NITI DILA,Dance-pop / EDM / Electropop / Eurodance ,Герои черно-белых фильмов,0.0,1.0,0.0
12022972,ж 24-45 - NITI DILA - Манифест (скрытые) - слушатели,The Limba,Хип-хоп / Поп-рэп / Рэп,Закрой мои глаза,0.0,1.0,0.0
7926236,Мохито - Перед рассветом (Remix) (скрытые),Мохито,Dance-pop / EDM / Electropop / Eurodance ,Винчестер,0.0,1.0,0.0
2099192,DILARA - u wanna (скрытые),EMIN,Russian Pop / Эстрада / Russian Chanson,Перед рассветом (Remix),0.0,0.0,0.0
8006695,DJ DimixeR - Перед рассветом (Remix) (премьерный),DILARA,Поп/R&B,Последнее письмо,0.0,1.0,1.0
1875173,Мохито - пост 2 (охватная),Сателлит,Поп/R&B,Досрочно,0.0,1.0,0.0
2076055,DILARA - u wanna (скрытые) v3 - похожие,DAKENA,Поп/R&B,Грустные глаза,0.0,1.0,0.0
16401069,Руки Вверх - Новый год (скрытые) (2),Руслан Добрый,Russian Pop / Эстрада / Russian Chanson,О чем ты не спишь по ночам,0.0,1.0,1.0
7924334,SEREBRO - Снег идёт (премьерный),SAYAN,Хип-хоп / Поп-рэп / Рэп,Музыку прибавь,0.0,1.0,0.0
10928331,Grivina - Цепляет (скрытые),EMIN,Поп/R&B,Герои черно-белых фильмов,0.0,1.0,0.0
12002038,Руки Вверх! - Новый год (премьерный),Стас Михайлов,Хип-хоп / Поп-рэп / Рэп,По следам любви,0.0,1.0,0.0
11965360,Natami - Дура (премьерный пост),SAYAN,Хип-хоп / Поп-рэп / Рэп,Я тобой болен,0.0,1.0,0.0
7541192,SEREBRO - Снег идёт (скрытые),The Limba,Russian Pop / Эстрада / Russian Chanson,Патрики,0.0,1.0,0.0
13722164,SAYAN - Закрой мои глаза (скрытые),SAYAN,Russian Pop / Эстрада / Russian Chanson,О чем ты не спишь по ночам,0.0,1.0,0.0
9478070,Сателлит feat. Рина - По следам любви (скрытые) - слушатели + подписчики,Сателлит,Dance-pop / EDM / Electropop / Eurodance ,На грани,0.0,1.0,0.0
8425903,DJ DimixeR  - Перед рассветом (Remix) (скрытые),NITI DILA,Хип-хоп / Поп-рэп / Рэп,По следам любви,0.0,1.0,0.0
13413090,EMIN - Зима (скрытые),HAMMALI & Akmal',Russian Pop / Эстрада / Russian Chanson,Жизнь игра,0.0,1.0,0.0
15345864,"Копия HammAli & Navai - HAMMALI - Мой дом там, где ты (скрытые)",EMIN & Amanda Holden,Dance-pop / EDM / Electropop / Eurodance ,u wanna,0.0,1.0,0.0
12153757,V2.0 - Россия - EMIN - Жизнь игра - базы (скрытые),EMIN,Поп/R&B,Дура,0.0,1.0,0.0
7520630,JAVANI - Мимолётная любовь (скрытые),EMIN,Хип-хоп / Поп-рэп / Рэп,Мне тепло с тобою,0.0,1.0,0.0
14695626,Руки Вверх - Новый год (скрытые) (2),Мохито,Dance-pop / EDM / Electropop / Eurodance ,О чем ты не спишь по ночам,0.0,1.0,0.0
9502107,Tural Everest - Верный друг (скрытые),Мохито,Хип-хоп / Поп-рэп / Рэп,Лучше меня,0.0,1.0,0.0
11283451,V3.0 - EMIN - Жизнь игра - базы (скрытые),Wallem & Bahh Tee,Поп/R&B,Манифест,0.0,1.0,0.0
9647472,"Алсу, Ева Власова - Белая Фата - Ева Власова (скрытые)",Марат Альборов,Хип-хоп / Поп-рэп / Рэп,Верный друг,0.0,1.0,0.0
1394469,ж 24-45 - NITI DILA - Манифест (скрытые) - слушатели,Nasty Babe,Russian Pop / Эстрада / Russian Chanson,Зажигай,0.0,1.0,0.0
13210079,NITI DILA - Манифест (скрытые) - подписчики+базы,SAYAN,Хип-хоп / Поп-рэп / Рэп,Закрой мои глаза,1.0,1.0,0.0
15438543,"С.Михайлов - R.Zərgərli, С.Михайлов - Я пью тебя до дна (скрытые) - слушатели",HAMMALI & Akmal',Хип-хоп / Поп-рэп / Рэп,Патрики,0.0,1.0,0.0
3267194,Руслан Добрый - Верный друг (скрытые),Виктор Антонов,Поп/R&B,Фиаско,0.0,1.0,0.0
9213493,EMIN_Герои черно-белых фильмов_ОХВ (премьерный пост),MILAVA,Dance-pop / EDM / Electropop / Eurodance ,Герои черно-белых фильмов,0.0,1.0,0.0
